Image;Object;Level;Class;Material;Camera Position;Light Color (RGB);Fog;Mask
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Green;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Green;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Green;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle0/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Pink;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle1/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Pink;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Pink;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Pink;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Pink;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle0/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Red;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle1/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Red;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Red;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Red;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Red;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle0/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Yellow;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle1/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Yellow;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Yellow;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Yellow;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Yellow;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle0/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Black;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle1/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Black;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Black;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Black;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Black;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle0/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Grey;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle1/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Grey;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Grey;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Grey;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_Grey;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle0/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_White;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle1/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_White;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle2/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_White;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle3/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_White;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle4/BaseMap_Actor_37_495.png;china-cabinet-2;BaseMap;495;M_Tri_Plastic1_White;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;Default;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;Default;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;Default;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;Default;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;Default;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Blue;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Blue;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Blue;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Blue;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Blue;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Cyan;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Cyan;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Cyan;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Cyan;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Cyan;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Green;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Green;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Green;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Green;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Green;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Pink;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Pink;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Pink;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Pink;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Pink/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Pink;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Red;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Red;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Red;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Red;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Red/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Red;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Yellow;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Yellow;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Yellow;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Yellow;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Yellow/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Yellow;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Black;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Black;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Black;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Black;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Black/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Black;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Grey;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Grey;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Grey;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Grey;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Grey/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_Grey;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle0/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_White;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle1/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_White;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle2/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_White;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle3/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_White;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_White/Angle4/BaseMap_Actor_38_495.png;china-cabinet-3;BaseMap;495;M_Tri_Plastic1_White;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle1/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;Default;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle2/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;Default;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle3/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;Default;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Camera/Angle4/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;Default;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle0/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Blue;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle1/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Blue;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle2/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Blue;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle3/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Blue;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Blue/Angle4/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Blue;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle0/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Cyan;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle1/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Cyan;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle2/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Cyan;X=0.000 Y=0.000 Z=0.400;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle3/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Cyan;X=0.000 Y=1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Cyan/Angle4/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Cyan;X=1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle0/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Green;X=-1.000 Y=0.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle1/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Green;X=0.000 Y=-1.000 Z=0.200;;false;
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer_Plastic/Dataset/Material/M_Tri_Plastic1_Green/Angle2/BaseMap_Actor_39_759.png;reflex-camera-1;BaseMap;759;M_Tri_Plastic1_Green;X=0.000 Y=0.000 Z=0.400;;false;
